order_month,customer_state,product_category_name,payment_type,cuboid_level,support_count,order_count,total_sales,avg_review_score,avg_delivery_days
ALL,ALL,instrumentos_musicais,ALL,1,719,628,230579.09,4.165507649513213,8.802503477051461
ALL,ALL,eletroportateis,ALL,1,705,630,218726.3,4.163120567375887,7.873758865248227
ALL,PB,ALL,ALL,1,640,532,151482.78999999998,4.01875,16.2625
ALL,ALL,casa_construcao,ALL,1,635,490,102212.32,3.9622047244094487,8.25511811023622
ALL,PI,ALL,ALL,1,574,493,114729.56,3.8641114982578397,15.33623693379791
ALL,RN,ALL,ALL,1,571,482,114747.30999999998,4.063047285464098,15.299474605954465
ALL,ALL,livros_interesse_geral,ALL,1,565,512,57627.87999999999,4.442477876106195,8.12566371681416
ALL,ALL,moveis_sala,ALL,1,532,422,92597.42,3.9342105263157894,9.75
ALL,ALL,alimentos,ALL,1,526,450,37649.990000000005,4.250950570342205,7.243346007604563
ALL,ALL,casa_conforto,ALL,1,478,397,73962.78,3.912133891213389,10.274058577405858
ALL,AL,ALL,ALL,1,462,411,99781.7,3.727272727272727,20.01298701298701
ALL,SE,ALL,ALL,1,397,345,75495.89,3.8337531486146097,17.030226700251887
ALL,ALL,bebidas,ALL,1,390,297,28846.34,4.058974358974359,6.676923076923077
2016-10,ALL,ALL,ALL,1,385,308,58730.850000000006,3.6493506493506493,5.823376623376624
ALL,ALL,audio,ALL,1,381,350,58494.16,3.853018372703412,9.876640419947506
ALL,TO,ALL,ALL,1,339,279,69702.51,4.144542772861357,13.053097345132743
ALL,ALL,market_place,ALL,1,332,280,35188.63,4.039156626506024,8.015060240963855
ALL,ALL,construcao_ferramentas_iluminacao,ALL,1,314,244,49728.759999999995,4.092356687898089,5.95859872611465
ALL,ALL,climatizacao,ALL,1,302,253,62810.87999999999,3.986754966887417,7.576158940397351
ALL,ALL,moveis_cozinha_area_de_servico_jantar_e_jardim,ALL,1,299,248,61333.19,3.9698996655518393,7.7725752508361206
ALL,ALL,alimentos_bebidas,ALL,1,291,227,21230.809999999998,4.326460481099656,7.601374570446735
ALL,RO,ALL,ALL,1,286,247,58681.5,4.038461538461538,16.223776223776223
ALL,ALL,fashion_calcados,ALL,1,278,240,30053.82,4.237410071942446,9.129496402877697
ALL,ALL,telefonia_fixa,ALL,1,272,217,66526.20000000001,3.6875,8.393382352941176
ALL,ALL,industria_comercio_e_negocios,ALL,1,272,235,48109.56,4.099264705882353,7.742647058823529
